event,date,country,city,artist,album,track,isrc,linkid
pageview,2021-08-19,Turkey,Izmir,Billie Eilish,Happier Than Ever,Happier Than Ever,USUM72105936,d58a7ad8-f1f7-43c7-90fc-02906b703089
pageview,2021-08-19,Bahrain,Manama,"Lunay, Anitta",El Niño,TODO O NADA,USA2P2117978,33335d11-744e-481b-9ba7-30086ca46edd
pageview,2021-08-19,United States,New Bern,Coi Leray,No More Parties,No More Parties,USUM72100947,51a9a818-40d2-432d-b48a-9dcff61c6278
pageview,2021-08-19,India,Nagpur,Saib,Elevation - Single,Elevation,USAT22007782,55b65f67-3b60-4f8f-b14b-65a4ffaa729e
pageview,2021-08-19,Norway,Oslo,"50 Cent, Olivia",The Massacre,Candy Shop,USIR10500072,97105aff-3e40-4c2e-bfeb-563b55e8f5dd
pageview,2021-08-19,Sweden,Stockholm,iamjuampi,Among Us,Among Us,QZK6J2095138,fe8a3fcd-7beb-4db0-8494-5238e1e1cab3
pageview,2021-08-21,Turkey,Sanliurfa,Maroon 5,JORDI (Deluxe),Nobody's Love,USUM72013111,ea760970-1df7-406a-8428-c3baf030a801
pageview,2021-08-21,Pakistan,Karachi,Loren Gray,Piece of Work,Piece of Work,QM24S2103535,c89d0bb7-fdd0-4bda-a770-3abd16b45f2e
pageview,2021-08-21,Germany,Nuremberg,PinkPantheress,Break It Off,Break It Off,QZES52183092,4f3fd357-b2b0-4ddb-b047-8cef495611d6
pageview,2021-08-21,South Africa,Pretoria,"50 Cent, Olivia",The Massacre,Candy Shop,USIR10500072,97105aff-3e40-4c2e-bfeb-563b55e8f5dd
pageview,2021-08-20,Italy,Unknown,"A Boogie Wit da Hoodie, Lil Durk",24 Hours (feat. Lil Durk),24 Hours (feat. Lil Durk),USAT22102270,f4da6960-c98b-4626-b7b2-6a48f846b940
pageview,2021-08-20,United States,Washington,Bo Burnham,Inside (The Songs),Bezos I,USA2P2122060,1cded359-7b54-4086-987e-4cae307a446f
pageview,2021-08-20,France,Saint-Amand-les-Eaux,"Lunay, Anitta",El Niño,TODO O NADA,USA2P2117978,33335d11-744e-481b-9ba7-30086ca46edd
